original,log_transform,sqrt_transform,boxcox_transform
7660,8.94389780251682,87.52142594816426,772.6580147609103
7661,8.944028325260595,87.52713864853574,772.7292132638254
7662,8.944158830970403,87.5328509760764,772.8004090211681
7663,8.944289319650697,87.53856293085921,772.8716020334035
7664,8.944419791305915,87.54427451295716,772.9427923009962
7665,8.9445502459405,87.54998572244315,773.013979824409
7666,8.944680683558895,87.55569655939013,773.0851646041054
7667,8.944811104165534,87.56140702387097,773.156346640551
7668,8.94494150776486,87.56711711595854,773.2275259342075
7669,8.945071894361302,87.5728268357257,773.2987024855389
7670,8.945202263959297,87.57853618324526,773.3698762950075
7671,8.945332616563274,87.58424515859002,773.4410473630778
7672,8.945462952177666,87.58995376183276,773.5122156902119
7673,8.945593270806897,87.5956619930462,773.5833812768731
7674,8.945723572455398,87.60136985230311,773.6545441235241
7675,8.94585385712759,87.60707733967615,773.7257042306269
7676,8.945984124827898,87.61278445523804,773.7968615986435
7677,8.946114375560743,87.6184911990614,773.8680162280382
7678,8.946244609330543,87.62419757121887,773.9391681192706
7679,8.946374826141717,87.62990357178307,774.0103172728027
7680,8.946505025998682,87.63560920082658,774.081463689099
7681,8.94663520890585,87.64131445842195,774.1526073686192
7682,8.946765374867635,87.64701934464172,774.2237483118253
7683,8.946895523888447,87.6527238595584,774.2948865191779
7684,8.947025655972697,87.65842800324451,774.3660219911403
7685,8.94715577112479,87.66413177577246,774.4371547281714
7686,8.947285869349132,87.66983517721475,774.5082847307339
7687,8.947415950650129,87.67553820764375,774.5794119992873
7688,8.94754601503218,87.68124086713189,774.6505365342928
7689,8.94767606249969,87.68694315575154,774.721658336212
7690,8.947806093057054,87.69264507357501,774.7927774055036
7691,8.94793610670867,87.69834662067467,774.8638937426297
7692,8.948066103458935,87.7040477971228,774.9350073480496
7693,8.94819608331224,87.70974860299168,775.0061182222234
7694,8.94832604627298,87.71544903835355,775.077226365611
7695,8.948455992345542,87.72114910328068,775.1483317786713
7696,8.948585921534317,87.72684879784524,775.2194344618656
7697,8.948715833843691,87.73254812211943,775.2905344156519
7698,8.94884572927805,87.7382470761754,775.3616316404914
7699,8.948975607841776,87.74394566008529,775.4327261368417
7700,8.94910546953925,87.74964387392122,775.5038179051619
7701,8.949235314374855,87.75534171775527,775.5749069459121
7702,8.949365142352965,87.76103919165953,775.6459932595501
7703,8.949494953477961,87.76673629570601,775.7170768465346
7704,8.949624747754216,87.77243302996676,775.7881577073254
7705,8.949754525186103,87.77812939451375,775.8592358423787
7706,8.949884285777994,87.78382538941898,775.9303112521541
7707,8.950014029534257,87.78952101475437,776.0013839371111
7708,8.950143756459262,87.79521627059188,776.0724538977047
7709,8.950273466557375,87.80091115700337,776.1435211343949
7710,8.95040315983296,87.80660567406076,776.2145856476394
7711,8.950532836290382,87.8122998218359,776.2856474378942
7712,8.950662495933999,87.8179936004006,776.3567065056188
7713,8.950792138768174,87.82368700982668,776.4277628512681
7714,8.950921764797261,87.82938005018595,776.4988164753009
7715,8.951051374025619,87.83507272155013,776.5698673781745
7716,8.951180966457603,87.840765023991,776.6409155603451
7717,8.951310542097564,87.84645695758026,776.7119610222708
7718,8.951440100949855,87.8521485223896,776.7830037644053
7719,8.951569643018821,87.8578397184907,776.8540437872076
7720,8.951699168308815,87.86353054595519,776.925081091133
7721,8.951828676824181,87.86922100485471,776.9961156766387
7722,8.951958168569265,87.87491109526086,777.067147544179
7723,8.952087643548404,87.88060081724521,777.1381766942114
7724,8.952217101765946,87.88629017087932,777.2092031271928
7725,8.952346543226227,87.89197915623473,777.2802268435756
7726,8.952475967933584,87.89766777338293,777.3512478438178
7727,8.952605375892354,87.90335602239541,777.4222661283737
7728,8.952734767106872,87.90904390334364,777.4932816977001
7729,8.952864141581468,87.91473141629905,777.5642945522501
7730,8.952993499320474,87.92041856133307,777.6353046924792
7731,8.953122840328222,87.92610533851708,777.7063121188442
7732,8.953252164609035,87.93179174792243,777.7773168317979
7733,8.953381472167242,87.9374777896205,777.8483188317947
7734,8.953510763007166,87.94316346368261,777.9193181192899
7735,8.95364003713313,87.94884877018005,777.9903146947383
7736,8.953769294549454,87.95453370918409,778.0613085585928
7737,8.953898535260459,87.960218280766,778.1322997113084
7738,8.95402775927046,87.96590248499699,778.2032881533381
7739,8.954156966583772,87.9715863219483,778.2742738851375
7740,8.954286157204713,87.97726979169109,778.3452569071587
7741,8.954415331137593,87.98295289429652,778.4162372198545
7742,8.954544488386723,87.98863562983574,778.4872148236811
7743,8.954673628956414,87.99431799837987,778.5581897190893
7744,8.954802752850968,88.0,778.6291619065335
7745,8.954931860074698,88.0056816347672,778.7001313864649
7746,8.955060950631902,88.01136290275251,778.7710981593384
7747,8.955190024526887,88.01704380402695,778.8420622256057
7748,8.95531908176395,88.02272433866155,778.9130235857199
7749,8.955448122347393,88.02840450672726,778.9839822401331
7750,8.955577146281511,88.03408430829505,779.0549381892974
7751,8.955706153570603,88.03976374343584,779.1258914336655
7752,8.955835144218959,88.04544281222056,779.1968419736899
7753,8.955964118230874,88.05112151472007,779.2677898098211
7754,8.956093075610639,88.05679985100527,779.3387349425121
7755,8.956222016362542,88.06247782114696,779.4096773722129
7756,8.956350940490871,88.06815542521599,779.4806170993768
